slug,name,action,entity_type,postcode,city,local_site
grand-annecy,Grand Annecy,unflag,ecosystem_support,74007,Annecy,1
grenoble-alpes,GRENOBLE ALPES,reject,,,,
grenoble-ecole-de-management,Grenoble Ecole de Management,keep,research_education,38000,Grenoble,
grenoble-inp-entreprise,Grenoble INP Entreprise,keep,ecosystem_support,38016,Grenoble,
groupe-doliam,Groupe DOLIAM,unflag,corporate,78600,Maisons-Laffitte,1
hautier-ip,Hautier IP,keep,company,38000,Grenoble,
hawai-tech,HawAI.tech,keep,company,38000,Grenoble,
hazes-and-clouds,Hazes and Clouds,reject,,,,
health,Health,reject,,,,
heidenhain,HEIDENHAIN,unflag,company,69007,Lyon,1
hemera,Hemera,keep,company,38240,Meylan,
hewlett-packard-enterprise,Hewlett Packard Enterprise,keep,,,,1
hidden-order-in-chaos,Hidden order in chaos,reject,,,,
hiri,HIRI,unflag,company,69100,Villeurbanne,1
holoprods,Holoprods,unflag,company,69290,Craponne,1
horiba-france,HORIBA France,keep,corporate,38330,Montbonnot-Saint-Martin,
hospices-civils-de-lyon-hcl,Hospices Civils de Lyon – HCL,unflag,research_education,69002,Lyon,1
how-to-reach-embl-s-six-sites-by-phone,How to reach EMBL's six sites by phone,reject,,,,
huawei-technologies-france-sasu,Huawei Technologies France SASU,unflag,corporate,92100,Boulogne-Billancourt,1
hub-transition,HUB TRANSITION,unflag,company,26000,Valence,1
humanities-and-social-sciences,Humanities and social sciences,reject,,,,
humans-matter,Humans Matter,unflag,company,69002,Lyon,1
hummink,Hummink,unflag,company,75003,Paris,1
hurence-sas,Hurence SAS,keep,company,38660,Lumbin,
ialab,IALab,unflag,company,69001,Lyon,1
icid-2026,ICID 2026,reject,,,,
icosa-tech,ICOSA Tech,unflag,company,42000,Saint-Étienne,1
id4us,ID4US,keep,company,38400,Saint Martin D'Heres,
idec-hautes-technologies,IDEC HAUTES TECHNOLOGIES,keep,company,38330,Saint-Ismier,
ideee,Ideee,unflag,company,42000,Saint Etienne,1
idemia-starchip,IDEMIA StarChip,unflag,company,13590,Meyreuil,1
idyllic-technology,Idyllic Technology,unflag,company,26000,Valence,1
ifotec,IFOTEC,keep,company,38500,Voiron,
ill,ILL,keep,research_education,,,
ill-mission,ILL Mission,reject,,,,
image-recognition,image recognition,reject,,,,
impulsion38,IMPULSION38,keep,ecosystem_support,38240,Meylan,
in-1967,In 1967,reject,,,,
in-extenso-innovation-croissance,In Extenso Innovation Croissance,unflag,corporate,69002,Lyon,1
in-france,in France,reject,,,,
in-large-companies,in large companies,reject,,,,
in-order-to-cancel-this-consent,In order to cancel this consent,reject,,,,
in-this-episode,In this episode,reject,,,,
in-motion,In&motion,unflag,company,74960,Annecy,1
inceptive,Inceptive,keep,company,38000,Grenoble,
inddigo,Inddigo,unflag,corporate,73000,Chambéry,1
industrie-4-0,Industrie 4.0,reject,,,,
ineso-europe,INESO EUROPE,keep,company,38600,Fontaine,
ineti,INETI,unflag,company,75008,Paris,1
inficon-sarl,INFICON SARL,unflag,company,91140,Villebon-Sur-Yvette,1
information-meeting,Information meeting,reject,,,,
infos,Infos,reject,,,,
innodura-tb,Innodura TB,unflag,company,69603,Villeurbanne,1
innova-advanced-technologies,Innova Advanced Technologies,keep,company,38000,Grenoble,
innovation-makers-alliance,Innovation Makers Alliance,unflag,ecosystem_support,75016,Paris,1
inouid,INOUID,unflag,company,69130,Ecully,1
inria,Inria,keep,research_education,,,
inria-grenoble-rhone-alpes,Inria Grenoble – Rhône-Alpes,unflag,research_education,69603,Villeurbanne,1
insa-lyon-institut-national-des-sciences-appliquees,INSA Lyon – Institut National des Sciences Appliquées,unflag,research_education,69621,Villeurbanne,1
insidix,INSIDIX,keep,company,38360,Noyarey,
institut-lyfe,Institut Lyfe,unflag,research_education,69130,Écully,1
intelligence-artificielle,Intelligence artificielle,reject,,,,
interfaces-energie,Interfaces Energie,reject,,,,
interfacial-tension-effects,Interfacial tension effects,reject,,,,
internship-agreement,Internship agreement,reject,,,,
iogs-institut-doptique-graduate-school,IOGS – Institut d’Optique Graduate School,unflag,research_education,42000,Saint Etienne,1
iotize,IoTize,keep,company,38330,Montbonnot Saint Martin,
iridescence,Iridescence,unflag,company,75014,Paris,1
iroc-technologies,Iroc Technologies,keep,company,38025,Grenoble,
isitec-international,Isitec International,unflag,company,69008,Millery,1
iten,ITEN,unflag,company,69570,Dardilly,1
iulia-dragomir,Iulia Dragomir,reject,,,,
ives,IVèS,keep,company,38330,Montbonnot-Saint-Martin,
jay-electronique,JAY ELECTRONIQUE,keep,company,38330,Saint Ismier,
jessica-france,Jessica France,keep,ecosystem_support,38054,Grenoble,
jonglerie-musicale,Jonglerie musicale,reject,,,,
journal,Journal,reject,,,,
june-avocats,JUNE AVOCATS,unflag,company,75002,Paris,1
kaffeine-technologies,Kaffeine Technologies,unflag,company,01630,Saint-Genis-Pouilly,1
kairntech,Kairntech,keep,company,38240,Meylan,
kaizen-solutions,Kaizen Solutions,keep,company,38330,Montbonnot Saint Martin,
kaori,Kaori,unflag,company,26300,Alixan,1
karine-altisen,Karine Altisen,reject,,,,
keplertech-io,keplertech.io,unflag,company,91120,Palaiseau,1
keysom,Keysom,unflag,company,33670,Blésignac,1
kibatic,Kibatic,keep,company,38100,Grenoble,
kpmg-avocats,KPMG Avocats,keep,corporate,38240,Meylan,
la-revanche-de-la-laine,La revanche de la laine,reject,,,,
laclaree,Laclarée,unflag,company,69100,Villeurbanne,1
laurence-nigay,Laurence Nigay,reject,,,,
law,Law,reject,,,,
